bucket_name,source_file,acl,is_public_acl,has_public_policy,versioning_enabled,logging_enabled,encryption_enabled,lifecycle_rules,secure_transport,bucket_policy_complexity,public_access_blocks,cors_enabled,website_enabled,replication_enabled,object_lock_enabled,intelligent_tiering_enabled,analytics_enabled,inventory_enabled,accelerate_enabled,security_score,accessibility_score,risk_ratio,main_discriminator,security_level,risk_multiplier,public_access_score,anomaly_signal,variation_factor,security_penalty,high_risk_combination,configuration_inconsistency,vulnerability_score,public_access_type,extreme_configuration,composite_anomaly_score,security_features_count,has_any_public_access,critical_security_gaps,isolation_forest_score,one_class_svm_score,autoencoder_score,local_outlier_factor_score,ensemble_score,is_anomaly
public-bucket,IaC_script/s3_public.tf,public-read,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285714285714284,8,5.6000000000000005,1.0,0,10.0,6.024835707650562,21.02483570765056,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.7499999999960693,0.649327863293563,0.7500000000000002,0.537331965822408,1
public-via-policy-bucket,IaC_script/s3_public_policy.tf,private,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8571428571428568,4,1.4000000000000001,0.0,0,1.0,0.024835707650561634,8.024835707650562,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.022212251378967336,0.0,0.005553062844741834,0
everyone-can-upload-bucket,IaC_script/s3_public_acl_extra_new_4.tf,public-read-write,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285714285714284,8,5.6000000000000005,1.0,0,10.0,8.024835707650562,22.02483570765056,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.9999999999947591,0.9999999999877971,1.0,0.749999999995639,1
anonymous-read-access-bucket,IaC_script/s3_public_acl_extra_new_2.tf,public-read,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285714285714284,8,5.6000000000000005,1.0,0,10.0,6.024835707650562,21.02483570765056,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.7499999999960693,0.649327863293563,0.7500000000000002,0.537331965822408,1
anonymous-access-new-bucket,IaC_script/s3_public_acl_new_3.tf,public-read,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285714285714284,8,5.6000000000000005,1.0,0,10.0,6.024835707650562,21.02483570765056,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.7499999999960693,0.649327863293563,0.7500000000000002,0.537331965822408,1
world-accessible-files-bucket,IaC_script/s3_public_acl_extra_new_3.tf,public-read,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285714285714284,8,5.6000000000000005,1.0,0,10.0,6.024835707650562,21.02483570765056,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.7499999999960693,0.649327863293563,0.7500000000000002,0.537331965822408,1
public-data-unrestricted-bucket,IaC_script/s3_public_acl_extra_new_1.tf,public-read-write,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285714285714284,8,5.6000000000000005,1.0,0,10.0,8.024835707650562,22.02483570765056,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.9999999999947591,0.9999999999877971,1.0,0.749999999995639,1
private-acl-bucket-1-new,IaC_script/s3_private_acl_new_1.tf,private,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8571428571428568,4,1.4000000000000001,0.0,0,1.0,0.024835707650561634,8.024835707650562,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.022212251378967336,0.0,0.005553062844741834,0
open-bucket-example-new,IaC_script/s3_public_acl_new_4.tf,public-read-write,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285714285714284,8,5.6000000000000005,1.0,0,10.0,8.024835707650562,22.02483570765056,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.9999999999947591,0.9999999999877971,1.0,0.749999999995639,1
private-acl-auth-read-bucket-new,IaC_script/s3_private_acl_new_2.tf,authenticated-read,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8571428571428568,4,1.4000000000000001,0.0,0,1.0,1.0248357076505616,8.524835707650562,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.12499999999934484,0.0,0.125,0.062499999999836214,0
public-encrypted-bucket,IaC_script/s3_public_encrypted.tf,public-read,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.8571428571428568,8,2.8000000000000003,1.0,1,10.0,6.024835707650562,19.02483570765056,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.7499999999960693,0.649327863293563,0.7500000000000002,0.537331965822408,1
private-bucket,IaC_script/s3_private.tf,private,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8571428571428568,4,1.4000000000000001,0.0,0,1.0,0.024835707650561634,8.024835707650562,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.022212251378967336,0.0,0.005553062844741834,0
public-read-bucket-explicit,IaC_script/s3_public_read.tf,public-read,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285714285714284,8,5.6000000000000005,1.0,0,10.0,6.024835707650562,21.02483570765056,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.7499999999960693,0.649327863293563,0.7500000000000002,0.537331965822408,1
unprotected-data-lake-bucket,IaC_script/s3_public_acl_extra_new_6.tf,public-read-write,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285714285714284,8,5.6000000000000005,1.0,0,10.0,8.024835707650562,22.02483570765056,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.9999999999947591,0.9999999999877971,1.0,0.749999999995639,1
logs-bucket,IaC_script/s3_public_with_logging.tf,private,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8571428571428568,4,1.4000000000000001,0.0,0,1.0,0.024835707650561634,8.024835707650562,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.022212251378967336,0.0,0.005553062844741834,0
public-bucket-with-logging,IaC_script/s3_public_with_logging.tf,public-read,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8571428571428568,8,2.8000000000000003,1.0,1,10.0,5.993086784941441,18.99308678494144,-0.013826430117118467,0,0,0,0,0,0,0,0,0,0,0.0,0.7460313846574499,0.6444754106409388,0.74603138466136,0.5341345449899372,1
public-read-write-bucket,IaC_script/s3_public_read_write.tf,public-read-write,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285714285714284,8,5.6000000000000005,1.0,0,10.0,8.024835707650562,22.02483570765056,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.9999999999947591,0.9999999999877971,1.0,0.749999999995639,1
public-website-content-bucket,IaC_script/s3_public_acl_extra_new_7.tf,public-read,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285714285714284,8,5.6000000000000005,1.0,0,10.0,6.024835707650562,21.02483570765056,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.7499999999960693,0.649327863293563,0.7500000000000002,0.537331965822408,1
private-bucket-explicit,IaC_script/s3_private_explicit.tf,private,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8571428571428568,4,1.4000000000000001,0.0,0,1.0,0.024835707650561634,8.024835707650562,0.04967141530112327,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.022212251378967336,0.0,0.005553062844741834,0
