has_any_public_access,public_access_score,vulnerability_score,high_risk_combination,composite_anomaly_score,security_features_count,critical_security_gaps,public_access_type,configuration_inconsistency,extreme_configuration,security_penalty,bucket_name,source_file,assumed_anomalous
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public-bucket,data/terraform/misconfig/s3_public.tf,1
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,public-via-policy-bucket,data/terraform/misconfig/s3_public_policy.tf,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,everyone-can-upload-bucket,data/terraform/misconfig/s3_public_acl_extra_new_4.tf,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anonymous-read-access-bucket,data/terraform/misconfig/s3_public_acl_extra_new_2.tf,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anonymous-access-new-bucket,data/terraform/misconfig/s3_public_acl_new_3.tf,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,world-accessible-files-bucket,data/terraform/misconfig/s3_public_acl_extra_new_3.tf,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public-data-unrestricted-bucket,data/terraform/misconfig/s3_public_acl_extra_new_1.tf,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,open-bucket-example-new,data/terraform/misconfig/s3_public_acl_new_4.tf,1
0.0,0.0,-0.3333333333333333,-0.5555555555555556,-0.5416666666666667,1.0,-1.0,0.0,0.0,-0.6666666666666666,0.0,public-encrypted-bucket,data/terraform/misconfig/s3_public_encrypted.tf,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public-read-bucket-explicit,data/terraform/misconfig/s3_public_read.tf,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprotected-data-lake-bucket,data/terraform/misconfig/s3_public_acl_extra_new_6.tf,1
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,logs-bucket,data/terraform/misconfig/s3_public_with_logging.tf,1
0.0,0.0,-0.2222222222222222,-0.5555555555555556,-0.5361111111111112,1.0,-1.0,0.0,0.0,-0.6666666666666666,0.0,public-bucket-with-logging,data/terraform/misconfig/s3_public_with_logging.tf,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public-read-write-bucket,data/terraform/misconfig/s3_public_read_write.tf,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public-website-content-bucket,data/terraform/misconfig/s3_public_acl_extra_new_7.tf,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public-data-new-bucket,data/terraform/misconfig/s3_public_acl_new_1.tf,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,world-readable-new-bucket,data/terraform/misconfig/s3_public_acl_new_2.tf,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,open-documents-share-bucket,data/terraform/misconfig/s3_public_acl_extra_new_5.tf,1
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,private-acl-bucket-1-new,data/terraform/correct/s3_private_acl_new_1.tf,0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,private-acl-auth-read-bucket-new,data/terraform/correct/s3_private_acl_new_2.tf,0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,private-bucket,data/terraform/correct/s3_private.tf,0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,private-bucket-explicit,data/terraform/correct/s3_private_explicit.tf,0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,private-bucket-default,data/terraform/correct/s3_private_default.tf,0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,private-acl-private-bucket-3-new,data/terraform/correct/s3_private_acl_new_3.tf,0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,private-bucket-with-policy,data/terraform/correct/s3_private_restrictive_policy.tf,0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,private-owner-control-bucket,data/terraform/correct/s3_private_owner_control.tf,0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,private-acl-auth-read-bucket-4-new,data/terraform/correct/s3_private_acl_new_4.tf,0
